Category,Value,Player,Years
Most Points Scored (Career),1570,Carol Zink,1984-87
Most Points Scored (3 Years),1091,Tracy Parks,1989-91
Most Points Scored (2 Years),831,Susan Sundahl,1981-82
Most Games Played,111,April Woody,2005-08
Most Games Played,107,Erica Alvarez,2001-04
Most Games Played,107,Crystal Richardson,2002-05
Most Games Played,107,Abby Suiter,2004-07
High Scoring Average (4 Years),15.9,Carol Zink,1984-87
High Scoring Average (3 Years),15.5,Jeanne Suellentrop,1975-77
High Scoring Average (2 Years),16.0,Susan Sundahl,1981-82
Most Rebounds (Career),925,Carol Zink,1984-87
Most Rebounds (3 Years),818,Valecia Kelly,1981-83
Most Rebounds (2 Years),561,Ann Williams,1990-91
High Rebounding Average,11.1,Valecia Kelly,1981-83
High Field Goal Percentage (Career),47.9%,Carol Zink,1983-87
High Field Goal Percentage (1 Season),48.5%,Whitney Pegram,2008
High Free Throw Percentage,79.9% (246/308 in 111 games),April Woody,2005-08
High Free Throw Percentage,78.5%,Tammy Brunk,1990-92
High Free Throw Percentage,78.0%,Susan Sundahl,1981-82
High Free Throw Percentage,84.8%,Crystal Thomas,2005-06
Most Field Goals Made (4 Years),685,Carol Zink,1984-87
Most Field Goals Attempted (4 Years),1430,Carol Zink,1984-87
Most Field Goals Made (3 Years),404,Tracy Parks,1989-91
Most Field Goals Attempted (3 Years),901,April Woody,2005-07
Most Field Goals Made (2 Years),353,Susan Sundahl,1981-82
Most Field Goals Attempted (2 Years),845,Susan Sundahl,1981-82
Most 3-Pt Field Goals Made,117,Tracy Parks,1989-91
Most 3-Pt Field Goals Attempted,343,Tracy Parks,1989-91
Most Free Throws Made (Career),335,Erica Alvarez,2001-04
Most Free Throws Attempted (Career),460,Erica Alvarez,2001-04
Most Assists (Career),395,Susie Morales,1980-83
Most Assists (2 Years),173,Jamie Sims Brewer,2007-08
Most Assists (2 Years),154,April Bryley,2005-06
Most Assists (3 Years),199,Sharla Odhams,2001-03
Most Steals (Career),305,Sharla Odhams,2001-03
Most Steals (2 Years),202,Sharla Odhams,2001-02
Most Blocked Shots (Career),123,Whitney Pegram,2008
Most Blocked Shots (Career),107,Angelina Fiorenzi,2006-09
