Player,Season,Statistic,Value,Date,Opponent,PlayerURL
Aleaya Guerrero,2024-25,Points,0,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,Minutes,2,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,Field Goals Made,0,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,Field Goal Attempts,1,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,3-Point Field Goals Made,0,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,3-Point Field Goal Attempts,1,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,Free Throws Made,0,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,Free Throw Attempts,0,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,Rebounds,0,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,Assists,0,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,Blocks,0,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2024-25,Steals,0,02/05/25,at Bethany (KS),https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,Points,4,02/04/26,Bethany College,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,Minutes,10,01/25/26,Bethel College,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,Field Goals Made,2,02/04/26,Bethany College,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,Field Goal Attempts,4,02/07/26,at Saint Mary,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,3-Point Field Goals Made,0,02/21/26,Oklahoma Wesleyan University,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,3-Point Field Goal Attempts,1,01/25/26,Bethel College,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,Free Throws Made,1,02/07/26,at Saint Mary,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,Free Throw Attempts,2,02/07/26,at Saint Mary,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,Rebounds,5,02/04/26,Bethany College,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
Aleaya Guerrero,2025 - 26,Assists,0,02/21/26,Oklahoma Wesleyan University,https://macbulldogs.com/sports/womens-basketball/roster/aleaya-guerrero/9967
