Player,Years,Seasons,GP,GS,Minutes,FGM,FGA,3PT,3PTA,FTM,FTA,PTS,OREB,DREB,REB,PF,AST,TO,STL,BLK,FG%,3PT%,FT%,MIN/G,PTS/G,REB/G
"Abra, Zatorian",1,2014-15,30.0,11.0,760.0,63.0,200.0,12.0,56.0,36.0,62.0,174.0,28.0,72.0,100.0,81.0,48.0,80.0,48.0,5.0,0.315,0.21428571428571427,0.5806451612903226,25.333333333333332,5.8,3.3333333333333335
"Abunaja, Nicole",1,2017-18,14.0,,126.0,15.0,44.0,13.0,39.0,,3.0,43.0,5.0,4.0,9.0,21.0,5.0,14.0,2.0,,0.3409090909090909,0.3333333333333333,,9.0,3.0714285714285716,0.6428571428571429
"Abunaja, Nicole",2,2017-18;2018-19,19.0,,139.0,15.0,48.0,13.0,42.0,,3.0,43.0,5.0,4.0,9.0,21.0,6.0,14.0,4.0,,0.3125,0.30952380952380953,,7.315789473684211,2.263157894736842,0.47368421052631576
"Abunaja, Nicole",3,2017-18;2018-19;2019-20,42.0,,276.0,27.0,88.0,16.0,61.0,3.0,8.0,73.0,9.0,15.0,24.0,39.0,14.0,40.0,10.0,1.0,0.3068181818181818,0.26229508196721313,0.375,6.571428571428571,1.7380952380952381,0.5714285714285714
"Acklin, Megan",1,2014-15,30.0,4.0,479.0,41.0,113.0,7.0,32.0,15.0,23.0,104.0,33.0,59.0,92.0,61.0,25.0,55.0,3.0,13.0,0.36283185840707965,0.21875,0.6521739130434783,15.966666666666667,3.466666666666667,3.066666666666667
"Acklin, Megan",2,2014-15;2015-16,56.0,9.0,757.0,62.0,175.0,16.0,72.0,19.0,27.0,159.0,40.0,97.0,137.0,95.0,39.0,73.0,10.0,15.0,0.35428571428571426,0.2222222222222222,0.7037037037037037,13.517857142857142,2.8392857142857144,2.4464285714285716
"Ajayi, Margaret",1,2025-26,15.0,14.0,313.0,35.0,83.0,,,24.0,41.0,94.0,32.0,67.0,99.0,50.0,13.0,37.0,11.0,10.0,0.42168674698795183,,0.5853658536585366,20.866666666666667,6.266666666666667,6.6
"Allen, Amanda",1,2015-16,31.0,14.0,605.0,75.0,208.0,16.0,71.0,24.0,34.0,190.0,39.0,91.0,130.0,91.0,14.0,29.0,11.0,35.0,0.3605769230769231,0.22535211267605634,0.7058823529411765,19.516129032258064,6.129032258064516,4.193548387096774
"Allen, Amanda",2,2015-16;2016-17,41.0,14.0,726.0,90.0,259.0,17.0,83.0,34.0,47.0,231.0,45.0,117.0,162.0,114.0,19.0,39.0,15.0,43.0,0.3474903474903475,0.20481927710843373,0.723404255319149,17.70731707317073,5.634146341463414,3.951219512195122
"Arpin, Jessica",1,2009-10,8.0,,27.0,4.0,12.0,,1.0,,,8.0,5.0,5.0,10.0,4.0,2.0,2.0,,,0.3333333333333333,,,3.375,1.0,1.25
"Askin, Faith",1,2024-25,1.0,,,,,,,,,,,,,,,,,,,,,,,
"Ast, Jill",1,2012-13,6.0,,23.0,1.0,9.0,,2.0,2.0,2.0,4.0,5.0,3.0,8.0,2.0,1.0,1.0,,,0.1111111111111111,,1.0,3.8333333333333335,0.6666666666666666,1.3333333333333333
"Ates, Victoria",1,2019-20,21.0,,158.0,12.0,37.0,2.0,4.0,8.0,14.0,34.0,17.0,15.0,32.0,13.0,11.0,14.0,14.0,,0.32432432432432434,0.5,0.5714285714285714,7.523809523809524,1.619047619047619,1.5238095238095237
"Ates, Victoria",2,2019-20;2020-21,46.0,18.0,780.0,86.0,221.0,12.0,44.0,31.0,54.0,215.0,47.0,74.0,121.0,64.0,48.0,50.0,53.0,6.0,0.3891402714932127,0.2727272727272727,0.5740740740740741,16.956521739130434,4.673913043478261,2.630434782608696
"Ates, Victoria",3,2019-20;2020-21;2021-22,77.0,19.0,1299.0,146.0,389.0,27.0,100.0,46.0,78.0,365.0,73.0,117.0,190.0,109.0,72.0,72.0,82.0,7.0,0.37532133676092544,0.27,0.5897435897435898,16.87012987012987,4.740259740259741,2.4675324675324677
"Atkins, Callie",1,2013-14,28.0,,348.0,32.0,116.0,18.0,69.0,11.0,21.0,93.0,9.0,30.0,39.0,39.0,17.0,28.0,8.0,3.0,0.27586206896551724,0.2608695652173913,0.5238095238095238,12.428571428571429,3.3214285714285716,1.3928571428571428
"Atkins, Callie",2,2013-14;2014-15,58.0,17.0,911.0,74.0,270.0,45.0,174.0,26.0,48.0,219.0,17.0,67.0,84.0,104.0,42.0,95.0,30.0,3.0,0.2740740740740741,0.25862068965517243,0.5416666666666666,15.706896551724139,3.7758620689655173,1.4482758620689655
"Austin, Andrea",1,2009-10,1.0,1.0,,5.0,8.0,2.0,2.0,,,12.0,2.0,4.0,6.0,4.0,,3.0,,,0.625,1.0,,,12.0,6.0
"Austin, Maya",1,2020-21,17.0,,209.0,24.0,90.0,11.0,58.0,4.0,5.0,63.0,8.0,7.0,15.0,22.0,8.0,10.0,13.0,1.0,0.26666666666666666,0.1896551724137931,0.8,12.294117647058824,3.7058823529411766,0.8823529411764706
"Bacon, Isabella",1,2016-17,14.0,,289.0,37.0,95.0,31.0,72.0,15.0,18.0,120.0,1.0,14.0,15.0,26.0,10.0,18.0,6.0,,0.3894736842105263,0.4305555555555556,0.8333333333333334,20.642857142857142,8.571428571428571,1.0714285714285714
"Baker, Joze'",1,2023-24,28.0,8.0,456.0,84.0,233.0,17.0,66.0,39.0,70.0,224.0,39.0,66.0,105.0,64.0,22.0,69.0,23.0,,0.3605150214592275,0.25757575757575757,0.5571428571428572,16.285714285714285,8.0,3.75
"Barton, Aubrey",1,2013-14,31.0,31.0,813.0,138.0,313.0,12.0,49.0,122.0,157.0,410.0,66.0,134.0,200.0,80.0,40.0,102.0,41.0,43.0,0.44089456869009586,0.24489795918367346,0.7770700636942676,26.225806451612904,13.225806451612904,6.451612903225806
"Battle, Kristina",1,2015-16,30.0,6.0,596.0,52.0,159.0,16.0,46.0,43.0,68.0,163.0,22.0,57.0,79.0,49.0,43.0,49.0,28.0,3.0,0.3270440251572327,0.34782608695652173,0.6323529411764706,19.866666666666667,5.433333333333334,2.6333333333333333
"Battle, Kristina",2,2015-16;2016-17,60.0,33.0,1367.0,138.0,430.0,27.0,108.0,105.0,176.0,408.0,55.0,116.0,171.0,127.0,92.0,124.0,65.0,12.0,0.3209302325581395,0.25,0.5965909090909091,22.783333333333335,6.8,2.85
"Battle, Kristina",3,2015-16;2016-17;2017-18,88.0,40.0,1776.0,185.0,562.0,39.0,152.0,135.0,237.0,544.0,65.0,153.0,218.0,178.0,119.0,155.0,91.0,18.0,0.3291814946619217,0.2565789473684211,0.569620253164557,20.181818181818183,6.181818181818182,2.477272727272727
"Bell, Lainey",1,2013-14,2.0,,6.0,,2.0,,1.0,,,,,,,,,2.0,,,,,,3.0,,
"Bell, Olivia",1,2024-25,3.0,,16.0,1.0,4.0,,1.0,3.0,4.0,5.0,,2.0,2.0,2.0,4.0,1.0,,,0.25,,0.75,5.333333333333333,1.6666666666666667,0.6666666666666666
"Bell, Olivia",2,2024-25;2025-26,15.0,12.0,279.0,43.0,126.0,5.0,25.0,28.0,34.0,119.0,7.0,44.0,51.0,26.0,40.0,35.0,10.0,3.0,0.3412698412698413,0.2,0.8235294117647058,18.6,7.933333333333334,3.4
"Bencsek, Skylar",1,2023-24,13.0,,71.0,1.0,7.0,,3.0,2.0,3.0,4.0,1.0,4.0,5.0,,2.0,4.0,2.0,,0.14285714285714285,,0.6666666666666666,5.461538461538462,0.3076923076923077,0.38461538461538464
"Bencsek, Skylar",2,2023-24;2024-25,22.0,,121.0,3.0,16.0,2.0,9.0,5.0,7.0,13.0,4.0,7.0,11.0,2.0,5.0,8.0,3.0,,0.1875,0.2222222222222222,0.7142857142857143,5.5,0.5909090909090909,0.5
"Bencsek, Skylar",3,2023-24;2024-25;2025-26,50.0,,458.0,11.0,49.0,7.0,25.0,10.0,15.0,39.0,9.0,23.0,32.0,20.0,22.0,47.0,10.0,1.0,0.22448979591836735,0.28,0.6666666666666666,9.16,0.78,0.64
"Berkheimer, Taylor",1,2024-25,21.0,,204.0,31.0,75.0,30.0,68.0,4.0,4.0,96.0,3.0,15.0,18.0,19.0,5.0,22.0,7.0,,0.41333333333333333,0.4411764705882353,1.0,9.714285714285714,4.571428571428571,0.8571428571428571
"Berkheimer, Taylor",2,2024-25;2025-26,30.0,,246.0,34.0,92.0,33.0,83.0,5.0,6.0,106.0,4.0,18.0,22.0,21.0,5.0,23.0,7.0,,0.3695652173913043,0.39759036144578314,0.8333333333333334,8.2,3.533333333333333,0.7333333333333333
"Bohannon, Taylor",1,2020-21,1.0,,6.0,,3.0,,3.0,,,,,1.0,1.0,,2.0,,,,,,,6.0,,1.0
"Boris, Nikola",1,2024-25,27.0,16.0,495.0,27.0,108.0,19.0,76.0,11.0,19.0,84.0,8.0,67.0,75.0,32.0,16.0,37.0,8.0,4.0,0.25,0.25,0.5789473684210527,18.333333333333332,3.111111111111111,2.7777777777777777
"Borman, Raeghan",1,2023-24,26.0,,249.0,18.0,67.0,6.0,25.0,24.0,39.0,66.0,7.0,21.0,28.0,29.0,10.0,38.0,17.0,3.0,0.26865671641791045,0.24,0.6153846153846154,9.576923076923077,2.5384615384615383,1.0769230769230769
"Borman, Raeghan",2,2023-24;2024-25,54.0,12.0,767.0,69.0,235.0,12.0,61.0,63.0,111.0,213.0,29.0,68.0,97.0,87.0,42.0,102.0,32.0,4.0,0.2936170212765957,0.19672131147540983,0.5675675675675675,14.203703703703704,3.9444444444444446,1.7962962962962963
"Borman, Raeghan",3,2023-24;2024-25;2025-26,67.0,16.0,1039.0,95.0,315.0,13.0,74.0,93.0,161.0,296.0,37.0,92.0,129.0,124.0,52.0,124.0,57.0,7.0,0.30158730158730157,0.17567567567567569,0.577639751552795,15.507462686567164,4.417910447761194,1.9253731343283582
