Player,3-Point Field Goal Attempts,3-Point Field Goals Made,Assists,Blocks,Field Goal Attempts,Field Goals Made,Free Throw Attempts,Free Throws Made,Minutes,Points,Rebounds,Steals
Aleaya Guerrero,1,0,0,0,4,2,2,1,10,4,5,0
Ali Brewster,4,3,8,1,12,6,13,10,40,17,11,5
Alicia Demaret,2,0,3,10,12,6,6,4,29,16,17,2
Allie Hickman,1,0,0,0,3,1,2,2,5,4,2,0
Amanda Allen,7,3,2,4,13,8,6,5,39,19,9,1
Amanda Fleming,2,0,0,0,2,0,0,0,2,0,1,0
Amara Griffith,1,0,1,0,2,0,2,0,6,0,1,1
Amaree Henderson,7,2,3,1,18,10,8,7,28,23,7,4
Amarion Tease,4,2,2,1,13,6,6,3,26,15,6,3
Amber Evans,1,0,1,1,2,0,2,1,9,1,3,0
Amy Jantz,1,1,1,0,1,1,2,0,8,3,1,1
Amyah Williams-Woodmore,1,1,0,0,4,3,2,2,17,9,4,1
Ashton Bruner,3,1,6,3,23,11,13,8,43,28,16,4
Asya Tims,1,1,2,0,2,2,2,2,20,7,1,1
Aubrey Barton,5,2,3,4,17,11,13,11,36,25,13,4
Auhnesty Hawkins,1,1,3,1,14,5,9,7,26,11,11,3
Bailey Brown,8,4,7,2,17,9,18,16,48,27,12,7
Becca Heeke,0,0,0,1,3,2,2,1,14,5,4,2
Bela Raimondi,1,0,1,0,4,1,4,3,9,5,7,1
Beth Cooper,5,2,5,2,10,4,4,3,26,10,7,3
Brandi Florian,0,0,1,0,6,3,6,5,20,7,8,2
Breahna Gillespie,4,2,7,2,10,5,9,4,35,13,16,5
Brenda Tejero,3,2,1,0,3,2,3,1,12,7,1,0
Brianna Castaneda,4,1,1,0,7,1,2,1,18,3,1,1
Brianna Shaw,1,0,2,0,3,0,0,0,3,0,0,0
Britney Jarvis,9,3,2,1,11,5,4,3,32,13,8,7
Brittany Pittas,10,5,3,1,21,8,8,6,30,21,6,5
Brittany Roberts,1,0,8,4,29,15,20,13,43,37,25,6
