Category,Value,Player,Season
Most Points Scored in Career,1570,Carol Zink,1984-87
Most Points Scored in Career,1520,Bailey Brown,2012-16
Most Points Scored 3 Years,1317,Bailey Brown,2013-16
Most Points Scored 3 Years,1091,Tracy Parks,1989-91
Most Points Scored 2 Years,960,Bailey Brown,2014-16
Most Points Scored 2 Years,845,Bailey Brown,2013-15
Most Points Scored 2 Years,831,Susan Sundahl,1981-82
Most Games Played,121,Bailey Brown,2012-16
Most PGames Played,2,April Woody,2007-08
Most Games Played,107,Erica Alvarez,2001-04
Most Games Played,107,Crystal Richardson,2002-05
Most Games Played,107,Abby Suiter,2004-07
Most Games Played,107,Brooke Weisenburger,2008-12
High Scoring Average 4 Years,15.9,Carol Zink,1984-87
High Scoring Average 3 years,15.5,Jeanne Suellentrop,1975-77
High Scoring Average 2 Years,16.0,Susan Sundahl,1981-82
Most Rebounds in Career,925,Carol Zink,1984-87
Most Rebounds 3 Years,818,Valecia Kelly,1981-83
Most Rebounds 2 Years,561,Ann Williams,1990-91
High Rebounding Average,11.1,Valecia Kelly,1981-83
High Field Goal Percentage,47.9,Carol Zink,1983-87
High Field Goal Percentage,48.5,Whitney Pegram,2007-08
High Free Throw Percentage,79.9,April Woody,2005-08
High Free Throw Percentage,78.0,Susan Sundahl,1981-82
High Free Throw Percentage,78.5,Tammy Bunk,1990-92
High Free Throw Percentage,84.8,Crystal Thomas,2005-06
Most Field Goals Made 4 Years,685,Carol Zink,1984-87
Most Field Goals Attempted 4 Years,1430,Carol Zink,1984-87
Most Field Goals Made 3 Years,404,Tracy Parks,1989-91
Most Field Goals Attempted 3 Years,901,April Woody,2005-07
Most Field Goals Attempted 3 Years,878,Bailey Brown,2013-16
Most Field Goals Made 2 Years,353,Susan Sundahl,1981-82
Most Field Goals Attempted 2 Years,845,Susan Sundahl,1981-82
Most 3-Pt Field Goals Made 4 Years,117,Tracy Parks,1989-91
Most 3-Pt Field Goals Attempted 4 Years,343,Tracy Parks,1989-91
Most 3-Pt Field Goals Made 3 Years,175,Sunny Smart,2013-16
Most 3-Pt Field Goals Made 3 Years,117,Tracy Parks,1989-91
Most 3-Pt Field Goals Attempted 3 Years,587,Sunny Smart,2013-16
Most 3-Pt Field Goals Attempted 3 Years,343,Tracy Parks,1989-91
Most 3-Pt Field Goals Made 2 Years,132,Sunny Smart,2013-15
Most 3-Pt Field Goals Made 2 Years,125,Sunny Smart,2014-16
Most 3-Pt Field Goals Attempted 2 years,429,Sunny Smart,2014-16
Most 3-Pt Field Goals Attempted 2 years,425,Sunny Smart,2013-15
Most Free Throws Made in Career,607,Bailey Brown,2012-16
Most Free Throws Made in Career,335,Erica Alvarez,2001-04
Most Free Throws Attempted 4 Years,783,Bailey Brown,2012-16
Most Free Throws Attempted 4 Years,460,Erica Alvarez,2001-04
Most Free Throws Made 3 Years,522,Bailey Brown,2013-16
Most Free Throws Made 3 Years,418,Bailey Brown,2012-15
Most Free Throws Attempted 3 Years,670,Bailey Brown,2013-16
Most Free Throws Attempted 3 Years,557,Bailey Brown,2012-15
Most Free Throws Made 2 Years,382,Bailey Brown,2014-16
Most Free Throws Made 2 Years,225,Bailey Brown,2012-14
Most Free Throws Attempted 2 years,487,Bailey Brown,2014-16
Most Free Throws Attempted 2 years,444,Bailey Brown,2013-15
Most Free Throws Attempted 2 years,296,Bailey Brown,2012-14
Most Assists in Career,395,Susie Morales,1980-83
Most Assists 3 Years,212,Brooke Weisenburger,2008-11
Most Assists 3 Years,199,Sharla Odhams,2001-03
Most Assists 2 Years,173,Jamie Sims Brewer,2007-08
Most Assists 2 Years,154,April Bryley,2005-06
Most Steals in Career,305,Sharla Odhams,2001-03
Most Steals 3 Years,305,Sharla Odhams,2001-03
Most Steals 2 Years,202,Sharla Odhams,2001-02
Most Blocked Shots in Career,123,Whitney Pegram,2007-08
Most Blocked Shots in Career,107,Angelina Fiorenzi,2006-09
