Player,Season,3PA,3PM,AST,BLK,FGA,FGM,FTA,FTM,MIN,PTS,REB,STL
Aleaya Guerrero,2024-25,1,0,0,0,1,0,0,0,2,0,0,0
Aleaya Guerrero,2025-26,1,0,0,0,4,2,2,1,10,4,5,0
Ali Brewster,2011-12,2,2,4,1,6,4,6,5,21,14,6,5
Ali Brewster,2012-13,4,3,8,1,12,6,13,10,40,17,11,5
Alicia Demaret,2014-15,2,0,3,10,12,6,6,4,29,16,17,2
Allie Hickman,2024-25,1,0,0,0,3,1,2,2,5,4,2,0
Amanda Allen,2015-16,7,3,2,4,13,8,6,5,39,19,9,1
Amanda Fleming,2010-11,2,0,0,0,2,0,0,0,2,0,1,0
Amara Griffith,2013-14,1,0,1,0,2,0,2,0,6,0,1,1
Amaree Henderson,2025-26,7,2,3,1,18,10,8,7,28,23,7,4
Amarion Tease,2024-25,4,2,2,1,13,6,6,3,26,15,6,3
Amber Evans,2019-20,1,0,0,1,2,0,2,1,9,1,2,0
Amber Evans,2020-21,0,0,1,0,1,0,0,0,6,0,3,0
Amy Jantz,2009-10,1,1,1,0,1,1,2,0,8,3,1,1
Amyah Williams-Woodmore,2025-26,1,1,0,0,4,3,2,2,17,9,4,1
April Bryley,2005-06,0,0,12,0,0,0,0,0,0,0,0,0
April Woody,2005-06,0,0,0,0,0,0,19,0,0,0,0,0
Ashton Bruner,2015-16,3,1,6,3,23,11,13,8,43,28,16,4
Asya Tims,2018-19,1,1,2,0,2,2,2,2,20,7,1,1
Aubrey Barton,2013-14,5,2,3,4,17,11,13,11,36,25,13,4
Auhnesty Hawkins,2025-26,1,1,3,1,14,5,9,7,26,11,11,3
Bailey Brown,2012-13,8,3,3,1,10,5,12,8,35,15,6,3
Bailey Brown,2013-14,8,2,6,1,12,7,14,11,39,21,12,5
Bailey Brown,2014-15,7,3,7,2,17,9,18,14,40,27,12,6
Bailey Brown,2015-16,7,4,5,1,15,7,18,16,48,23,9,7
Becca Heeke,2011-12,0,0,0,1,3,2,2,1,14,5,4,2
Bela Raimondi,2018-19,1,0,1,0,4,1,4,3,9,5,7,1
Beth Cooper,2012-13,5,2,5,2,10,4,4,3,26,10,7,3
Brandi Florian,2009-10,0,0,1,0,2,1,2,1,12,2,5,2
Brandi Florian,2010-11,0,0,1,0,6,3,6,5,20,7,8,2
Breahna Gillespie,2010-11,2,1,2,1,10,3,9,4,31,8,16,2
Breahna Gillespie,2011-12,0,0,1,1,3,1,3,2,8,4,3,0
Breahna Gillespie,2012-13,1,1,2,0,6,3,4,4,16,8,4,2
Breahna Gillespie,2013-14,4,2,7,2,9,5,4,4,35,13,12,5
Brenda Tejero,2013-14,3,2,1,0,3,2,3,1,12,7,1,0
Brianna Castaneda,2014-15,4,1,1,0,7,1,2,1,18,3,1,1
Brianna Shaw,2020-21,1,0,2,0,3,0,0,0,3,0,0,0
Brianna Shaw,2022-23,0,0,0,0,0,0,0,0,1,0,0,0
Britney Jarvis,2019-20,9,3,2,1,11,5,4,3,32,13,8,7
Brittany Pittas,2011-12,10,5,3,1,21,8,8,6,30,21,6,5
Brittany Roberts,2017-18,0,0,1,2,18,8,12,7,31,17,14,2
