Season,Player,GP,GS,Minutes,FGM,FGA,3PT,3PTA,FTM,FTA,PTS,OREB,DREB,REB,PF,AST,TO,STL,BLK,FG%,3PT%,FT%,MIN/G,PTS/G,REB/G
2025-26,"Ajayi, Margaret",15,14.0,313,35.0,83,0,0,24.0,41,94.0,32,67,99.0,50.0,13.0,37,11,10.0,0.42168674698795183,,0.5853658536585366,20.866666666666667,6.266666666666667,6.6
2025-26,"Bell, Olivia",12,12.0,263,42.0,122,5,24,25.0,30,114.0,7,42,49.0,24.0,36.0,34,10,3.0,0.3442622950819672,0.20833333333333334,0.8333333333333334,21.916666666666668,9.5,4.083333333333333
2025-26,"Bencsek, Skylar",28,0.0,337,8.0,33,5,16,5.0,8,26.0,5,16,21.0,18.0,17.0,39,7,1.0,0.24242424242424243,0.3125,0.625,12.035714285714286,0.9285714285714286,0.75
2025-26,"Berkheimer, Taylor",9,0.0,42,3.0,17,3,15,1.0,2,10.0,1,3,4.0,2.0,0.0,1,0,0.0,0.17647058823529413,0.2,0.5,4.666666666666667,1.1111111111111112,0.4444444444444444
2025-26,"Borman, Raeghan",13,4.0,272,26.0,80,1,13,30.0,50,83.0,8,24,32.0,37.0,10.0,22,25,3.0,0.325,0.07692307692307693,0.6,20.923076923076923,6.384615384615385,2.4615384615384617
2025-26,"Cushing, Taylor",4,0.0,19,0.0,3,0,0,0.0,0,0.0,0,2,2.0,2.0,1.0,2,1,0.0,0.0,,,4.75,0.0,0.5
2025-26,"Gillam, Maizen",28,21.0,766,123.0,347,78,239,39.0,58,363.0,37,59,96.0,37.0,45.0,65,31,1.0,0.35446685878962536,0.3263598326359833,0.6724137931034483,27.357142857142858,12.964285714285714,3.4285714285714284
2025-26,"Guerrero, Aleaya",8,0.0,47,4.0,14,0,1,1.0,4,9.0,6,4,10.0,8.0,0.0,3,0,0.0,0.2857142857142857,0.0,0.25,5.875,1.125,1.25
2025-26,"Hammerquist, Mikah",24,7.0,514,49.0,141,39,122,5.0,7,142.0,7,41,48.0,52.0,26.0,26,15,2.0,0.3475177304964539,0.319672131147541,0.7142857142857143,21.416666666666668,5.916666666666667,2.0
2025-26,"Hawkins, Auhnesty",14,5.0,266,20.0,62,2,3,18.0,32,60.0,26,40,66.0,24.0,11.0,18,14,3.0,0.3225806451612903,0.6666666666666666,0.5625,19.0,4.285714285714286,4.714285714285714
2025-26,"Henderson, Amaree",28,8.0,457,108.0,298,10,71,62.0,92,288.0,26,81,107.0,49.0,24.0,81,27,7.0,0.3624161073825503,0.14084507042253522,0.6739130434782609,16.321428571428573,10.285714285714286,3.8214285714285716
2025-26,"Hill, Auburn",4,0.0,23,0.0,1,0,1,0.0,0,0.0,2,5,7.0,1.0,2.0,2,0,0.0,0.0,0.0,,5.75,0.0,1.75
2025-26,"Hill, Kayla",11,0.0,88,6.0,28,0,4,5.0,11,17.0,2,11,13.0,10.0,4.0,7,8,1.0,0.21428571428571427,0.0,0.45454545454545453,8.0,1.5454545454545454,1.1818181818181819
2025-26,"Imankulova, Dana",28,25.0,563,16.0,76,9,51,16.0,28,57.0,14,45,59.0,48.0,68.0,64,20,0.0,0.21052631578947367,0.17647058823529413,0.5714285714285714,20.107142857142858,2.0357142857142856,2.107142857142857
2025-26,"Jones, Leela",2,0.0,18,1.0,3,0,1,2.0,2,4.0,0,3,3.0,3.0,1.0,1,4,0.0,0.3333333333333333,0.0,1.0,9.0,2.0,1.5
2025-26,"McCain, Kenya",28,1.0,252,21.0,49,0,0,24.0,39,66.0,36,57,93.0,21.0,8.0,23,14,1.0,0.42857142857142855,,0.6153846153846154,9.0,2.357142857142857,3.3214285714285716
