Category,Value,Player,Season
Most Points Scored,488,Bailey Brown,2014-15
Most Points Scored,484,Erica Alvarez,2001-02
High Scoring Average,23.3,Anne Kruse,1963-64
Most Field Goals Made,207,Laura Sundahl,1972-73
Most Field Goals Attempted,447,Susan Sundahl,1981-82
Highest Field Goal Percentage,53.6,Sheila Bevan,2005-06
Most 3-Pt Field Goals Made,82,Sunny Smart,2014-15
Most 3-Pt Field Goals Made,55,Tracy Parks,1988-89
Most 3-Pt Field Goals Attempted,267,Sunny Smart,2014-15
Most 3-Pt Field Goals Attempted,182,Brenna Schierling,2003-04
High 3-Pt FG Percentage,43.3,April Woody,2007-08
High 3-Pt FG Percentage,39.4,Andrea Wilder,2003-04
Most Free Throws Made,193,Bailey Brown,2014-15
Most Free Throws Made,189,Bailey Brown,2015-16
Most Free Throws Made,140,Bailey Brown,2013-14
Most Free Throws Attempted,261,Bailey Brown,2014-15
Most Free Throws Attempted,183,Bailey Brown,2013-14
Most Free Throws Attempted,180,Danell Brunk,2004-05
Most Consecutive Free Throws Made,48,Tammy Bunk,1991-92
High Free Throw Percentage,86.8,April Woody,2006-07
High Free Throw Percentage,84.8,Crystal Thomas,2005-06
High Free Throw Percentage,83.6,Bailey Brown,2015-16
Most Rebounds,313,Valecia Kelly,1981-82
High Rebound Average,12.7,Debbie Rettele,1981-82
Most Assists,144,Susie Morales,1980-81
Most Steals,104,Susie Morales,1980-81
Most Blocked Shots,123,Whitney Pegram,2007-08
Most Fouls,98,Whitney Pegram,2007-08
Most Fouls,97,Dian Proffit,1982-83
