Category,Value,Player,Season
Most Points Scored,38,Kristen Ozbun,2011-12
Most Points Scored,37,Anne Kruse,1962-63
Most Field Goals Made,15,Mary Hutchison,1969-70
Most Field Goals Attempted,29,Susan Sundahl,1981-82
Most 3-Pt Field Goals Made,7,Crystal Thomas,2004-05
Most 3-Pt Field Goals Attempted,18,Sunny Smart,2015-16
Most 3-Pt Field Goals Attempted,14,Sunny Smart,2014-15
Most 3-Pt Field Goals Attempted,14,Andrea Wilder,2003-04
Most Free Throws Made,16,Bailey Brown,2015-16
Most Free Throws Made,16,April Woody,2005-06
Most Free Throws Made,15,Susan Sundahl,1980-81
Most Free Throws Attempted,19,April Woody,2005-06
Most Free Throws Attempted,18,Bailey Brown,2015-16
Most Free Throws Attempted,18,Bailey Brown,2014-15
Most Free Throws Attempted,18,Erica Alvarez,2003-04
Most Rebounds,17,Alicia Demaret,2014-15
Most Rebounds,17,Jamie Howell,1999-00
Most Rebounds,17,Whitney Pegram,2007-08
Most Rebounds,16,Ashton Bruner,2015-16
Most Rebounds,16,Ashley Kline,2005-06
Most Rebounds,16,Breahna Gillespie,2010-11
Most Assists,12,April Bryley,2005-06
Most Assists,9,Sharla Odhams,2001-02
Most Assists,9,Amber Jackson,2001-02
Most Steals,8,Madison Chambers,2010-11
Most Steals,7,Sharla Odhams,2000-01
Most Steals,7,Kimmi Hogan,2000-01
Most Steals,7,April Bryley,2005-06
Most Steals,7,Madison Chambers,2010-11
Most Blocked Shots,10,Alicia Demaret,2014-15
Most Blocked Shots,9,Whitney Pegram,2007-08
Most Blocked Shots,8,Whitney Pegram,2007-08
